state_id,state,total_population,median_income,education_attainment,employment_status,poverty_status
1,Alabama,4850771,24476,3276637,165391,4729116
2,Alaska,738565,32940,475442,29548,719983
4,Arizona,6809946,27517,4516175,225911,6654096
5,Arkansas,2977944,23789,1985770,85128,2890095
6,California,38982847,29454,25950818,1491146,38242946
8,Colorado,5436519,32401,3668477,152856,5316870
9,Connecticut,3594478,35326,2480297,140712,3486033
10,Delaware,943732,31560,651540,30245,918100
11,District of Columbia,672391,43198,477843,31279,638362
12,Florida,20278447,25952,14396066,699117,19858469
13,Georgia,10201635,27024,6693826,372581,9931935
15,Hawaii,1421658,32453,984320,34380,1383246
16,Idaho,1657375,25298,1065313,42328,1626557
17,Illinois,12854526,30684,8666079,491310,12551822
18,Indiana,6614418,27247,4369451,202199,6412384
19,Iowa,3118102,30002,2067914,69018,3016358
20,Kansas,2903820,29126,1886741,71009,2820265
21,Kentucky,4424376,24702,2986199,140717,4287887
22,Louisiana,4663461,25086,3092069,157186,4531570
23,Maine,1330158,26841,961086,36790,1294998
24,Maryland,5996079,37147,4095427,198375,5856088
25,Massachusetts,6789319,34498,4706536,224856,6552347
26,Michigan,9925568,26987,6719972,361624,9698121
27,Minnesota,5490726,32734,3698605,130510,5366210
28,Mississippi,2986220,22766,1956101,117786,2890123
29,Missouri,6075300,26999,4100209,175919,5891760
30,Montana,1029862,26249,703919,25076,1004612
31,Nebraska,1893921,30020,1233842,38881,1839825
32,Nevada,2887725,29019,1968023,116285,2846365
33,New Hampshire,1331848,33172,939471,33566,1289255
34,New Jersey,8960161,35075,6163699,328167,8783989
35,New Mexico,2084828,24457,1381630,73710,2043896
36,New York,19798228,31057,13660809,685368,19285448
37,North Carolina,10052564,26482,6784048,352287,9783738
38,North Dakota,745475,32336,485490,11085,719722
39,Ohio,11609756,27435,7888150,378735,11289161
40,Oklahoma,3896251,26207,2553488,105375,3780828
41,Oregon,4025127,27389,2797953,138139,3947954
42,Pennsylvania,12790505,28923,8885953,422016,12377251
44,Rhode Island,1056138,30210,729261,38634,1015923
45,South Carolina,4893444,25454,3325601,170257,4751345
46,South Dakota,855444,28821,560605,17018,826297
47,Tennessee,6597381,25453,4478450,210756,6436601
48,Texas,27419612,28063,17454431,784888,26794198
49,Utah,2993941,27928,1743090,64314,2946717
50,Vermont,624636,29351,437900,14969,600127
51,Virginia,8365952,32545,5680765,236648,8116130
53,Washington,7169967,32318,4896055,218821,7037413
54,West Virgina,1836843,23707,1293665,57659,1784004
55,Wisconsin,5763217,29868,3907816,145271,5612611
56,Wyoming,583200,30854,388617,14459,569412
72,Puerto Rico,3468963,,2390791,220597,3437079